attack_label,log_type,eventdate,type,dvc_host,dvc_group,action,src_port,dst_port,application,src_zone,dst_zone,signature,id_signature,message,evento,server_bytes,count,suppression_start_time,page,src_location,suppression_end_time,dst_region,cci,dst_location,dst_country,dst_timezone,user,ur_normalized,resp_cnt,site,src_longitude,client_bytes,ccl,numbytes,conn_duration,event_type,app,url,dst_latitude,policy,dst_longitude,other_categories,src_time,req_cnt,dst_zipcode,traffic_type,category,src_region,appcategory,userkey,netskope_pop,http_transaction_count,ssl_decrypt_policy,bypass_traffic,user_generated,bypass_reason,resp_content_len,conn_endtime,domain,conn_starttime,browser_session_id,request_id,incident_id,_id,threat_source_id,connection_id,policy_id,app_session_id,transaction_id,dlp_parent_id,dlp_incident_id,malsite_id,severity_level_id,host_name,users,endpoint_id,external_id,_eventdate,Unnamed: 0,ts,metadata.origin.data.agent,data,sm.dsn,sm.mailer,sm.to,sm.stat,sm.xdelay,sm.pri,sm.relay,sm.delay,tls.cipher,tls.verify,tls.version,pps.agent,guid,msg.normalizedHeader.message-id,msg.header.message-id,connection.sid,metadata.origin.data.cid,filter.qid,filter.modules.dmarc.srvid,id,metadata.customerId,sm.qid,pps.cid,sm.msgid,filter.origGuid,local_quarantine.body.folder_id,local_quarantine.body.msg_id
0,0,,,,,,,,,,,,,,17733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.082821561613657e-05,542.0,3.0,31.0,8.0,1.0,0.0,124.0,3.0,0.0778114222843972,55.0,25161.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3889909675056664e-05,0.0,0.1785337310329307,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,75763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8809511074191197,537.0,12.0,454.0,9.0,1.0,0.0,147.0,2.0,0.7796073756287674,69.0,52412.0,3.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883079156429614,0.0,0.8165028041960568,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,48197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4578030222393371,258.0,9.0,227.0,3.0,2.0,0.0,726.0,0.0,0.4387590553704629,542.0,33188.0,6.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584756383470883,0.0,0.5440218668516881,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,8055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9624958602916824,505.0,1.0,454.0,9.0,1.0,0.0,174.0,3.0,0.3190159517507017,63.0,19077.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9614662629349784,0.0,0.9352895947686418,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,37249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2224702471891636,25193.0,6.0,21533.0,9.0,1.0,0.0,156.0,1.0,0.471385224265558,62.0,29872.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2320913235224421,0.0,0.604397989897648,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,10615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9692787115983894,427.0,2.0,380.0,9.0,2.0,0.0,186.0,6.0,0.6372455914112498,49.0,51062.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969349142457368,0.0,0.7991044371431306,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,72952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9626005662356272,689.0,12.0,622.0,9.0,1.0,0.0,174.0,3.0,0.2937803150563166,64.0,16719.0,3.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615828276580464,0.0,0.9355879335310938,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,5752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4578931917919944,380.0,1.0,332.0,9.0,2.0,0.0,138.0,1.0,0.5240475137830642,52.0,42476.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458565659396358,0.0,0.4921552389798453,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,68021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000860002866676,19397.0,11.0,16377.0,10.0,2.0,0.0,142.0,3.0,0.8576060464641914,54.0,47219.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008408103593895,0.0,0.5845023219465276,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,70253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8811948284627109,1057.0,12.0,902.0,2.0,1.0,0.0,4367.0,3.0,0.0239688289141914,293.0,3.0,4.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833202160703234,0.0,0.8426739625277508,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,29282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7113348545198708,25242.0,5.0,21819.0,9.0,2.0,0.0,129.0,1.0,0.319527666167856,416.0,22506.0,4.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7156347270556298,0.0,0.6705427701991276,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,8467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4310596207064138,482.0,2.0,427.0,8.0,2.0,0.0,142.0,1.0,0.0924676108223669,364.0,21852.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347843788553159,0.0,0.5642377812032777,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,28867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964572181341406,1066.0,4.0,910.0,9.0,2.0,0.0,158.0,3.0,0.2005593667775004,61.0,12655.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9643292110757488,0.0,0.8897379651894199,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,33391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7114015212457967,25329.0,5.0,21897.0,13.0,2.0,0.0,158.0,6.0,0.6220351843379117,424.0,47307.0,8.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157112678212416,0.0,0.7564649935783956,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,1867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2228080253422504,25490.0,1.0,21791.0,0.0,1.0,0.0,7937.0,0.0,0.0046509364607149,879.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324256401651345,0.0,0.6541742671906843,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,41108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7114139657013029,25339.0,7.0,21906.0,9.0,2.0,0.0,129.0,3.0,0.0225025909490305,50.0,1899.0,4.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157153499954076,0.0,0.0668271103551745,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,11186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.066399738788532e-05,654.0,2.0,143.0,8.0,1.0,0.0,124.0,2.0,0.862213141126854,53.0,63824.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001039913715267,0.0,0.0721755034376079,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,26779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962943507613828,1275.0,4.0,1135.0,9.0,1.0,0.0,174.0,4.0,0.1111378574152678,66.0,29191.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961927805335565,0.0,0.9364999284472072,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,71138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9629782135165962,1315.0,12.0,1166.0,0.0,1.0,0.0,5198.0,0.0,0.0028680239270811,899.0,0.0,4.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619581256392532,0.0,0.9365945236645702,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,34085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8814259913609261,1563.0,5.0,1322.0,9.0,1.0,0.0,147.0,2.0,0.3053849665854006,69.0,15797.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8835394579510569,0.0,0.7987462413334886,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,27370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9647144582954964,1408.0,4.0,1210.0,9.0,2.0,0.0,158.0,3.0,0.5030764213080305,61.0,44536.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964475340741146,0.0,0.7921855343408125,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,75514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003128385093564,31954.0,13.0,26062.0,1.0,2.0,0.0,4626.0,4.0,0.0044837381059922,269.0,5.0,4.0,3.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003602758824908,0.0,0.3885669966695561,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,15101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9704087130108908,1329.0,2.0,1172.0,9.0,2.0,0.0,186.0,6.0,0.6794314079900716,49.0,54149.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9704693526474956,0.0,0.807788924686593,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,80454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815148286115482,1756.0,13.0,1479.0,9.0,1.0,0.0,147.0,6.0,0.0725062538357961,71.0,20279.0,3.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8836208754456011,0.0,0.8237973270812675,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,70967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9631111547712676,1554.0,12.0,1372.0,0.0,1.0,0.0,3431.0,1.0,0.0034197957487451,422.0,1.0,3.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9620942301135867,0.0,0.936985032125991,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,85152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2228780254200283,25568.0,14.0,21845.0,9.0,1.0,0.0,156.0,1.0,0.2989347623924617,409.0,13239.0,3.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324820000589217,0.0,0.5828195217096886,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,2522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.881551572814685,1855.0,1.0,1572.0,0.0,1.0,0.0,7489.0,1.0,0.0026897899176515,877.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8836623824036041,0.0,0.8432440353123959,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,8252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970564963206204,1449.0,1.0,1278.0,14.0,2.0,0.0,754.0,58.0,0.834061066408167,999.0,68038.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9706179662647092,0.0,0.8046468786883155,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,58970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4311876207917472,673.0,10.0,598.0,1.0,2.0,0.0,4104.0,1.0,0.0320877297142849,235.0,1.0,5.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434917274427051,0.0,0.5818778178277952,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,62960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8816078519106287,1985.0,11.0,1666.0,0.0,1.0,0.0,4839.0,1.0,0.0022783870639776,425.0,1.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837150643118385,0.0,0.8433504221348824,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,62983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8816311077353989,2026.0,11.0,1702.0,0.0,1.0,0.0,7489.0,0.0,0.0021642422820772,877.0,0.0,4.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837416713361994,0.0,0.8434327213749192,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,21778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4581175987237957,725.0,3.0,612.0,9.0,2.0,0.0,138.0,2.0,0.7074045034778337,52.0,51636.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4587770131642085,0.0,0.6496631564811602,0.0,0.0,0.0,0.0,0.0
